TIME,GEO_NAME,GEO,IRRIGATION,CROPS,RDB_CODE,RDB_NAME,WATER_POL_PERCENTAGE
2010,AT,Austria,Irrigable,3.2,Null,Null,Null
2010,AT,Austria,Irrigated,0.9,Null,Null,Null
2010,AT11,Burgenland,Irrigable,12.2,Null,Null,Null
2010,AT11,Burgenland,Irrigated,3.9,Null,Null,Null
2010,AT12,Lower Austria,Irrigable,6.7,Null,Null,Null
2010,AT12,Lower Austria,Irrigated,1.7,Null,Null,Null
2010,AT13,Vienna,Irrigable,26.9,Null,Null,Null
2010,AT13,Vienna,Irrigated,11.2,Null,Null,Null
2010,AT21,Carinthia,Irrigable,0.3,Null,Null,Null
2010,AT21,Carinthia,Irrigated,0.1,Null,Null,Null
2010,AT22,Styria,Irrigable,0.5,Null,Null,Null
2010,AT22,Styria,Irrigated,0.3,Null,Null,Null
2010,AT31,Upper Austria,Irrigable,0.3,Null,Null,Null
2010,AT31,Upper Austria,Irrigated,0.1,Null,Null,Null
2010,AT32,Salzburg,Irrigable,0.1,Null,Null,Null
2010,AT32,Salzburg,Irrigated,0,Null,Null,Null
2010,AT33,Tyrol,Irrigable,0.7,Null,Null,Null
2010,AT33,Tyrol,Irrigated,0.5,Null,Null,Null
2010,AT34,Vorarlberg,Irrigable,0.1,Null,Null,Null
2010,AT34,Vorarlberg,Irrigated,0,Null,Null,Null
2010,BE,Belgium,Irrigable,1,Null,Null,Null
2010,BE,Belgium,Irrigated,0.3,Null,Null,Null
2010,BE10,Brussels,Irrigable,0,Null,Null,Null
2010,BE10,Brussels,Irrigated,0,Null,Null,Null
2010,BE21,Antwerp,Irrigable,2,Null,Null,Null
2010,BE21,Antwerp,Irrigated,0.7,Null,Null,Null
2010,BE22,Limburg,Irrigable,3.6,Null,Null,Null
2010,BE22,Limburg,Irrigated,1.1,Null,Null,Null
2010,BE23,East Flanders,Irrigable,0.6,Null,Null,Null
2010,BE23,East Flanders,Irrigated,0.2,Null,Null,Null
2010,BE24,Flemish Barbant,Irrigable,0.3,Null,Null,Null
2010,BE24,Flemish Barbant,Irrigated,0.1,Null,Null,Null
2010,BE25,West Flanders,Irrigable,2.6,Null,Null,Null
2010,BE25,West Flanders,Irrigated,0.7,Null,Null,Null
2010,BE31,Walloon Barbant,Irrigable,0.2,Null,Null,Null
2010,BE31,Walloon Barbant,Irrigated,0.1,Null,Null,Null
2010,BE32,Hainaut,Irrigable,0.3,Null,Null,Null
2010,BE32,Hainaut,Irrigated,0,Null,Null,Null
2010,BE33,Liége,Irrigable,0.7,Null,Null,Null
2010,BE33,Liége,Irrigated,0.2,Null,Null,Null
2010,BE34,Luxemburg,Irrigable,: c,Null,Null,Null
2010,BE34,Luxemburg,Irrigated,: c,Null,Null,Null
2010,BE35,Namur,Irrigable,0.3,Null,Null,Null
2010,BE35,Namur,Irrigated,0.2,Null,Null,Null
2010,BG,Bulgaria,Irrigable,3.1,Null,Null,Null
2010,BG,Bulgaria,Irrigated,2,Null,Null,Null
2010,BG31,Severozapaden,Irrigable,0.8,Null,Null,Null
2010,BG31,Severozapaden,Irrigated,0.6,Null,Null,Null
2010,BG32,Severen centralen,Irrigable,0.5,Null,Null,Null
2010,BG32,Severen centralen,Irrigated,0.2,Null,Null,Null
2010,BG33,Severoiztoecen,Irrigable,0.8,Null,Null,Null
2010,BG33,Severoiztoecen,Irrigated,0.5,Null,Null,Null
2010,BG34,Jugoiztecen,Irrigable,3.5,Null,Null,Null
2010,BG34,Jugoiztecen,Irrigated,1.9,Null,Null,Null
2010,BG41,Jugozapaden,Irrigable,3.1,Null,Null,Null
2010,BG41,Jugozapaden,Irrigated,2.8,Null,Null,Null
2010,BG42,Juzen centralen,Irrigable,11.9,Null,Null,Null
2010,BG42,Juzen centralen,Irrigated,7.9,Null,Null,Null
2010,CH,Switzerland,Irrigable,: ,Null,Null,Null
2010,CH,Switzerland,Irrigated,: ,Null,Null,Null
2010,CH01,Lake Geneva region,Irrigable,: ,Null,Null,Null
2010,CH01,Lake Geneva region,Irrigated,: ,Null,Null,Null
2010,CH02,Espace Mittelland,Irrigable,: ,Null,Null,Null
2010,CH02,Espace Mittelland,Irrigated,: ,Null,Null,Null
2010,CH03,Northwest Switzerland,Irrigable,: ,Null,Null,Null
2010,CH03,Northwest Switzerland,Irrigated,: ,Null,Null,Null
2010,CH04,Zurich,Irrigable,: ,Null,Null,Null
2010,CH04,Zurich,Irrigated,: ,Null,Null,Null
2010,CH05,Eastern Switzerland,Irrigable,: ,Null,Null,Null
2010,CH05,Eastern Switzerland,Irrigated,: ,Null,Null,Null
2010,CH06,Central Switzerland,Irrigable,: ,Null,Null,Null
2010,CH06,Central Switzerland,Irrigated,: ,Null,Null,Null
2010,CH07,Ticino,Irrigable,: ,Null,Null,Null
2010,CH07,Ticino,Irrigated,: ,Null,Null,Null
2010,CY,Cyprus,Irrigable,34,Null,Null,Null
2010,CY,Cyprus,Irrigated,23.9,Null,Null,Null
2010,CY00,Cyprus,Irrigable,34,Null,Null,Null
2010,CY00,Cyprus,Irrigated,23.9,Null,Null,Null
2010,CZ,Czech Republic,Irrigable,0.9,Null,Null,Null
2010,CZ,Czech Republic,Irrigated,0.6,Null,Null,Null
2010,CZ01,Prague,Irrigable,: c,Null,Null,Null
2010,CZ01,Prague,Irrigated,: c,Null,Null,Null
2010,CZ02,Central Bohemia,Irrigable,1.9,Null,Null,Null
2010,CZ02,Central Bohemia,Irrigated,1.3,Null,Null,Null
2010,CZ03,Southwest Bohemia,Irrigable,0,Null,Null,Null
2010,CZ03,Southwest Bohemia,Irrigated,0,Null,Null,Null
2010,CZ04,Northwest Bohemia,Irrigable,1.5,Null,Null,Null
2010,CZ04,Northwest Bohemia,Irrigated,0.9,Null,Null,Null
2010,CZ05,Northeast Bohemia,Irrigable,0.8,Null,Null,Null
2010,CZ05,Northeast Bohemia,Irrigated,0.4,Null,Null,Null
2010,CZ06,Southeast Bohemia,Irrigable,1.4,Null,Null,Null
2010,CZ06,Southeast Bohemia,Irrigated,0.8,Null,Null,Null
2010,CZ07,Central Moravia,Irrigable,0.4,Null,Null,Null
2010,CZ07,Central Moravia,Irrigated,0.2,Null,Null,Null
2010,CZ08,Moravian-Silesian,Irrigable,0.1,Null,Null,Null
2010,CZ08,Moravian-Silesian,Irrigated,0.1,Null,Null,Null
2010,DE,Germany,Irrigable,3.8,Null,Null,Null
2010,DE,Germany,Irrigated,2.2,Null,Null,Null
2010,DE1,Baden-Württemberg,Irrigable,1.9,Null,Null,Null
2010,DE1,Baden-Württemberg,Irrigated,1,Null,Null,Null
2010,DE11,Stuttgart,Irrigable,: ,Null,Null,Null
2010,DE11,Stuttgart,Irrigated,: ,Null,Null,Null
2010,DE12,Karlsruhe,Irrigable,: ,Null,Null,Null
2010,DE12,Karlsruhe,Irrigated,: ,Null,Null,Null
2010,DE13,Freiburg,Irrigable,: ,Null,Null,Null
2010,DE13,Freiburg,Irrigated,: ,Null,Null,Null
2010,DE14,Tübingen,Irrigable,: ,Null,Null,Null
2010,DE14,Tübingen,Irrigated,: ,Null,Null,Null
2010,DE2,Bavaria,Irrigable,1.2,Null,Null,Null
2010,DE2,Bavaria,Irrigated,0.5,Null,Null,Null
