TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES,AIRPOL,AIRPOL_VALUE
2010,AT,Austria,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,095.32",Null,Null
2010,AT,Austria,Null,Null,Null,Nitrogen oxides,"204,450"
2010,AT,Austria,Carbon dioxide,Agriculture,103.07,Null,Null
2010,AT,Austria,Null,Null,Null,Sulphur oxides,"15,990"
2010,AT,Austria,Methane,Agriculture,187.01,Null,Null
2010,AT,Austria,Null,Null,Null,Ammonia,"62,880"
2010,AT,Austria,Methane (CO2 equivalent),Agriculture,"4,675.31",Null,Null
2010,AT,Austria,Null,Null,Null,Particulates < 2.5µm,"19,810"
2010,AT,Austria,Nitrous oxide,Agriculture,7.77,Null,Null
2010,AT,Austria,Null,Null,Null,Particulates < 10µm,"32,030"
2010,AT,Austria,Nitrous oxide (CO2 equivalent),Agriculture,"2,316.94",Null,Null
2010,AT,Austria,Null,Null,Null,Non-methane volatile organic compounds,"137,900"
2010,AT,Austria,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,AT,Austria,Perfluorocarbones (CO2 equivalent),Agriculture,:,Null,Null
2010,AT,Austria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,Null,Null
2010,AT,Austria,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,AT,Austria,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,Null,Null
2010,AT,Austria,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-5,724.40",Null,Null
2010,AT,Austria,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-5,858.11",Null,Null
2010,AT,Austria,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,Null,Null
2010,AT,Austria,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.9,Null,Null
2010,AT,Austria,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.37,Null,Null
2010,AT,Austria,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",109.81,Null,Null
2010,AT,Austria,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,AT,Austria,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,AT,Austria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,AT,Austria,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,AT,Austria,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,Null,Null
2010,BE,Belgium,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"9,570.26",Null,Null
2010,BE,Belgium,Null,Null,Null,Nitrogen oxides,"244,710"
2010,BE,Belgium,Carbon dioxide,Agriculture,172.48,Null,Null
