TIME,GEO_NAME,GEO,INDIC_AG,HECTARES_AG,SE_LEVELS,SE_SECTOR,SE_TONNES PER HECTARE,IRRIGATION,IRRIGATION_CROPS,GREEN_POL,GREEN_POL_SRC,GREEN_POL_THOUSAND_TONNES,AIRPOL,AIRPOL_VALUE,RDB_CODE,RDB_NAME,RDB_POL_PERCENTAGE
2010,AT,Austria,High-input farms,"963,256",Total,Agricultural areas (excluding pastures),5,Irrigable,3.2,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,095.32",Nitrogen oxides,"204,450",,,
2010,AT,Austria,Low-input farms,"960,426",Moderate,Agricultural areas (excluding pastures),7.1,Irrigated,0.9,Carbon dioxide,Agriculture,103.07,Sulphur oxides,"15,990",,,
2010,AT,Austria,Medium-input farms,"966,845",Severe,Agricultural areas (excluding pastures),18.6,,,Methane,Agriculture,187.01,Ammonia,"62,880",,,
2010,AT,Austria,,,Total,Pastures and natural grassland,10.2,,,Methane (CO2 equivalent),Agriculture,"4,675.31",Particulates < 2.5µm,"19,810",,,
2010,AT,Austria,,,Moderate,Pastures and natural grassland,7.4,,,Nitrous oxide,Agriculture,7.77,Particulates < 10µm,"32,030",,,
2010,AT,Austria,,,Severe,Pastures and natural grassland,19.1,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,316.94",Non-methane volatile organic compounds,"137,900",,,
2010,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2010,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2010,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2010,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2010,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2010,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-5,724.40",,,,,
2010,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-5,858.11",,,,,
2010,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,,,,,
2010,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.9,,,,,
2010,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.37,,,,,
2010,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",109.81,,,,,
2010,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2010,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2010,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2010,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2010,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2011,AT,Austria,High-input farms,"974,908",,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,172.57",Nitrogen oxides,"195,980",,,
2011,AT,Austria,Low-input farms,"863,095",,,,,,Carbon dioxide,Agriculture,116.88,Sulphur oxides,"15,180",,,
2011,AT,Austria,Medium-input farms,"1,011,700",,,,,,Methane,Agriculture,185.03,Ammonia,"62,320",,,
2011,AT,Austria,,,,,,,,Methane (CO2 equivalent),Agriculture,"4,625.81",Particulates < 2.5µm,"18,670",,,
2011,AT,Austria,,,,,,,,Nitrous oxide,Agriculture,8.15,Particulates < 10µm,"31,070",,,
2011,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,429.87",Non-methane volatile organic compounds,"132,920",,,
2011,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
