TIME,GEO_NAME,GEO,SE_LEVELS,SE_SECTOR,TONNES PER HECTARE
2010,AT,Austria,Total,Agricultural areas (excluding pastures),5
2010,AT,Austria,Moderate,Agricultural areas (excluding pastures),7.1
2010,AT,Austria,Severe,Agricultural areas (excluding pastures),18.6
2010,AT,Austria,Total,Pastures and natural grassland,10.2
2010,AT,Austria,Moderate,Pastures and natural grassland,7.4
2010,AT,Austria,Severe,Pastures and natural grassland,19.1
2010,AT11,Burgenland (AT),Total,Agricultural areas (excluding pastures),2.9
2010,AT11,Burgenland (AT),Moderate,Agricultural areas (excluding pastures),7.1
2010,AT11,Burgenland (AT),Severe,Agricultural areas (excluding pastures),14.4
2010,AT11,Burgenland (AT),Total,Pastures and natural grassland,1.3
2010,AT11,Burgenland (AT),Moderate,Pastures and natural grassland,7.1
2010,AT11,Burgenland (AT),Severe,Pastures and natural grassland,11.9
2010,AT111,Mittelburgenland,Moderate,Agricultural areas (excluding pastures),6.9
2010,AT111,Mittelburgenland,Total,Agricultural areas (excluding pastures),3.3
2010,AT111,Mittelburgenland,Severe,Agricultural areas (excluding pastures),14.3
2010,AT111,Mittelburgenland,Total,Pastures and natural grassland,4.9
2010,AT111,Mittelburgenland,Moderate,Pastures and natural grassland,7
2010,AT111,Mittelburgenland,Severe,Pastures and natural grassland,12.8
2010,AT112,Nordburgenland,Total,Agricultural areas (excluding pastures),1.3
2010,AT112,Nordburgenland,Moderate,Agricultural areas (excluding pastures),6.8
2010,AT112,Nordburgenland,Severe,Agricultural areas (excluding pastures),13.7
2010,AT112,Nordburgenland,Total,Pastures and natural grassland,0.5
2010,AT112,Nordburgenland,Moderate,Pastures and natural grassland,6.7
2010,AT112,Nordburgenland,Severe,Pastures and natural grassland,12
2010,AT113,Südburgenland,Total,Agricultural areas (excluding pastures),5.1
2010,AT113,Südburgenland,Moderate,Agricultural areas (excluding pastures),7.2
2010,AT113,Südburgenland,Severe,Agricultural areas (excluding pastures),14.5
2010,AT113,Südburgenland,Total,Pastures and natural grassland,4
2010,AT113,Südburgenland,Moderate,Pastures and natural grassland,7.1
2010,AT113,Südburgenland,Severe,Pastures and natural grassland,11.6
2010,AT12,Niederösterreich,Total,Agricultural areas (excluding pastures),3.2
2010,AT12,Niederösterreich,Moderate,Agricultural areas (excluding pastures),6.9
2010,AT12,Niederösterreich,Severe,Agricultural areas (excluding pastures),15
2010,AT12,Niederösterreich,Total,Pastures and natural grassland,7
2010,AT12,Niederösterreich,Moderate,Pastures and natural grassland,7.3
2010,AT12,Niederösterreich,Severe,Pastures and natural grassland,15.1
