TIME,GEO_NAME,GEO,AIRPOL,AIRPOL_VALUE
2010,AT,Austria,Nitrogen oxides,"204,450"
2010,AT,Austria,Sulphur oxides,"15,990"
2010,AT,Austria,Ammonia,"62,880"
2010,AT,Austria,Particulates < 2.5µm,"19,810"
2010,AT,Austria,Particulates < 10µm,"32,030"
2010,AT,Austria,Non-methane volatile organic compounds,"137,900"
2010,BE,Belgium,Nitrogen oxides,"244,710"
2010,BE,Belgium,Sulphur oxides,"60,620"
2010,BE,Belgium,Ammonia,"73,150"
2010,BE,Belgium,Particulates < 2.5µm,"30,690"
2010,BE,Belgium,Particulates < 10µm,"39,660"
2010,BE,Belgium,Non-methane volatile organic compounds,"144,060"
2010,BG,Bulgaria,Nitrogen oxides,"125,270"
2010,BG,Bulgaria,Sulphur oxides,"386,870"
2010,BG,Bulgaria,Ammonia,"43,230"
2010,BG,Bulgaria,Particulates < 2.5µm,"30,890"
2010,BG,Bulgaria,Particulates < 10µm,"52,880"
2010,BG,Bulgaria,Non-methane volatile organic compounds,"85,340"
2010,CH,Switzerland,Nitrogen oxides,"84,880"
2010,CH,Switzerland,Sulphur oxides,"10,480"
2010,CH,Switzerland,Ammonia,"59,060"
2010,CH,Switzerland,Particulates < 2.5µm,"9,200"
2010,CH,Switzerland,Particulates < 10µm,"17,050"
2010,CH,Switzerland,Non-methane volatile organic compounds,"100,220"
2010,CY,Cyprus,Nitrogen oxides,"18,840"
2010,CY,Cyprus,Sulphur oxides,"21,740"
2010,CY,Cyprus,Ammonia,"9,560"
2010,CY,Cyprus,Particulates < 2.5µm,"1,580"
2010,CY,Cyprus,Particulates < 10µm,"3,140"
2010,CY,Cyprus,Non-methane volatile organic compounds,"12,990"
2010,CZ,Czechia,Nitrogen oxides,"248,030"
2010,CZ,Czechia,Sulphur oxides,"163,850"
2010,CZ,Czechia,Ammonia,"91,470"
2010,CZ,Czechia,Particulates < 2.5µm,"45,020"
2010,CZ,Czechia,Particulates < 10µm,"57,510"
2010,CZ,Czechia,Non-methane volatile organic compounds,"254,600"
2010,DE,Germany (until 1990 former territory of the FRG),Nitrogen oxides,"1,470,970"
2010,DE,Germany (until 1990 former territory of the FRG),Sulphur oxides,"405,400"
2010,DE,Germany (until 1990 former territory of the FRG),Ammonia,"618,910"
2010,DE,Germany (until 1990 former territory of the FRG),Particulates < 2.5µm,"119,740"
2010,DE,Germany (until 1990 former territory of the FRG),Particulates < 10µm,"227,770"
2010,DE,Germany (until 1990 former territory of the FRG),Non-methane volatile organic compounds,"1,361,410"
2010,DK,Denmark,Nitrogen oxides,"149,680"
2010,DK,Denmark,Sulphur oxides,"15,440"
2010,DK,Denmark,Ammonia,"80,740"
2010,DK,Denmark,Particulates < 2.5µm,"21,270"
2010,DK,Denmark,Particulates < 10µm,"32,690"
2010,DK,Denmark,Non-methane volatile organic compounds,"131,160"
2010,EE,Estonia,Nitrogen oxides,"42,340"
2010,EE,Estonia,Sulphur oxides,"83,290"
2010,EE,Estonia,Ammonia,"10,090"
2010,EE,Estonia,Particulates < 2.5µm,"13,840"
2010,EE,Estonia,Particulates < 10µm,"23,300"
2010,EE,Estonia,Non-methane volatile organic compounds,"23,010"
2010,EL,Greece,Nitrogen oxides,"363,540"
2010,EL,Greece,Sulphur oxides,"230,480"
2010,EL,Greece,Ammonia,"71,250"
2010,EL,Greece,Particulates < 2.5µm,"47,670"
2010,EL,Greece,Particulates < 10µm,"90,830"
2010,EL,Greece,Non-methane volatile organic compounds,"215,060"
2010,ES,Spain,Nitrogen oxides,"910,590"
2010,ES,Spain,Sulphur oxides,"242,880"
2010,ES,Spain,Ammonia,"435,480"
2010,ES,Spain,Particulates < 2.5µm,"137,200"
2010,ES,Spain,Particulates < 10µm,"201,710"
2010,ES,Spain,Non-methane volatile organic compounds,"616,820"
2010,EU,European Union - 27 countries (from 2020),Nitrogen oxides,"8,500,370"
2010,EU,European Union - 27 countries (from 2020),Sulphur oxides,"3,685,760"
2010,EU,European Union - 27 countries (from 2020),Ammonia,"3,614,760"
2010,EU,European Union - 27 countries (from 2020),Particulates < 2.5µm,"1,441,970"
2010,EU,European Union - 27 countries (from 2020),Particulates < 10µm,"2,169,350"
2010,EU,European Union - 27 countries (from 2020),Non-methane volatile organic compounds,"7,648,970"
2010,FI,Finland,Nitrogen oxides,"187,290"
2010,FI,Finland,Sulphur oxides,"66,100"
2010,FI,Finland,Ammonia,"36,590"
2010,FI,Finland,Particulates < 2.5µm,"23,790"
2010,FI,Finland,Particulates < 10µm,"39,050"
2010,FI,Finland,Non-methane volatile organic compounds,"113,400"
2010,FR,France,Nitrogen oxides,"1,143,890"
2010,FR,France,Sulphur oxides,"269,200"
2010,FR,France,Ammonia,"617,780"
2010,FR,France,Particulates < 2.5µm,"189,410"
2010,FR,France,Particulates < 10µm,"272,800"
2010,FR,France,Non-methane volatile organic compounds,"1,205,870"
2010,HR,Croatia,Nitrogen oxides,"72,250"
2010,HR,Croatia,Sulphur oxides,"35,130"
2010,HR,Croatia,Ammonia,"42,290"
2010,HR,Croatia,Particulates < 2.5µm,"38,210"
2010,HR,Croatia,Particulates < 10µm,"49,520"
2010,HR,Croatia,Non-methane volatile organic compounds,"91,890"
2010,HU,Hungary,Nitrogen oxides,"147,740"
2010,HU,Hungary,Sulphur oxides,"30,360"
2010,HU,Hungary,Ammonia,"71,250"
2010,HU,Hungary,Particulates < 2.5µm,"51,440"
2010,HU,Hungary,Particulates < 10µm,"73,870"
2010,HU,Hungary,Non-methane volatile organic compounds,"131,680"
2010,IE,Ireland,Nitrogen oxides,"121,630"
2010,IE,Ireland,Sulphur oxides,"26,670"
2010,IE,Ireland,Ammonia,"114,830"
2010,IE,Ireland,Particulates < 2.5µm,"16,240"
2010,IE,Ireland,Particulates < 10µm,"35,050"
2010,IE,Ireland,Non-methane volatile organic compounds,"111,000"
2010,IS,Iceland,Nitrogen oxides,"26,370"
2010,IS,Iceland,Sulphur oxides,"76,470"
2010,IS,Iceland,Ammonia,"4,590"
2010,IS,Iceland,Particulates < 2.5µm,"1,790"
2010,IS,Iceland,Particulates < 10µm,"3,620"
2010,IS,Iceland,Non-methane volatile organic compounds,"5,790"
2010,IT,Italy,Nitrogen oxides,"934,180"
2010,IT,Italy,Sulphur oxides,"221,580"
2010,IT,Italy,Ammonia,"377,110"
2010,IT,Italy,Particulates < 2.5µm,"196,200"
2010,IT,Italy,Particulates < 10µm,"234,400"
2010,IT,Italy,Non-methane volatile organic compounds,"1,117,290"
2010,LI,Liechtenstein,Nitrogen oxides,390
2010,LI,Liechtenstein,Sulphur oxides,20
2010,LI,Liechtenstein,Ammonia,220
2010,LI,Liechtenstein,Particulates < 2.5µm,30
2010,LI,Liechtenstein,Particulates < 10µm,40
2010,LI,Liechtenstein,Non-methane volatile organic compounds,340
2010,LT,Lithuania,Nitrogen oxides,"55,560"
2010,LT,Lithuania,Sulphur oxides,"17,910"
2010,LT,Lithuania,Ammonia,"36,760"
2010,LT,Lithuania,Particulates < 2.5µm,"7,980"
2010,LT,Lithuania,Particulates < 10µm,"13,740"
2010,LT,Lithuania,Non-methane volatile organic compounds,"58,230"
2010,LU,Luxembourg,Nitrogen oxides,"39,370"
2010,LU,Luxembourg,Sulphur oxides,"1,770"
2010,LU,Luxembourg,Ammonia,"5,610"
2010,LU,Luxembourg,Particulates < 2.5µm,"1,850"
2010,LU,Luxembourg,Particulates < 10µm,"2,500"
2010,LU,Luxembourg,Non-methane volatile organic compounds,"11,810"
2010,LV,Latvia,Nitrogen oxides,"39,840"
2010,LV,Latvia,Sulphur oxides,"4,340"
2010,LV,Latvia,Ammonia,"15,200"
2010,LV,Latvia,Particulates < 2.5µm,"22,080"
2010,LV,Latvia,Particulates < 10µm,"29,980"
2010,LV,Latvia,Non-methane volatile organic compounds,"44,560"
2010,MT,Malta,Nitrogen oxides,"10,440"
2010,MT,Malta,Sulphur oxides,"8,000"
2010,MT,Malta,Ammonia,"1,680"
2010,MT,Malta,Particulates < 2.5µm,600
2010,MT,Malta,Particulates < 10µm,"1,160"
2010,MT,Malta,Non-methane volatile organic compounds,"3,650"
2010,NL,Netherlands,Nitrogen oxides,"349,920"
2010,NL,Netherlands,Sulphur oxides,"35,760"
2010,NL,Netherlands,Ammonia,"133,910"
2010,NL,Netherlands,Particulates < 2.5µm,"22,700"
2010,NL,Netherlands,Particulates < 10µm,"35,780"
2010,NL,Netherlands,Non-methane volatile organic compounds,"268,020"
2010,NO,Norway,Nitrogen oxides,"208,960"
2010,NO,Norway,Sulphur oxides,"18,950"
2010,NO,Norway,Ammonia,"30,530"
2010,NO,Norway,Particulates < 2.5µm,"34,580"
2010,NO,Norway,Particulates < 10µm,"43,370"
2010,NO,Norway,Non-methane volatile organic compounds,"168,630"
2010,PL,Poland,Nitrogen oxides,"877,450"
2010,PL,Poland,Sulphur oxides,"816,620"
2010,PL,Poland,Ammonia,"316,320"
2010,PL,Poland,Particulates < 2.5µm,"151,500"
2010,PL,Poland,Particulates < 10µm,"271,260"
2010,PL,Poland,Non-methane volatile organic compounds,"738,130"
2010,PT,Portugal,Nitrogen oxides,"197,660"
2010,PT,Portugal,Sulphur oxides,"63,090"
2010,PT,Portugal,Ammonia,"58,990"
2010,PT,Portugal,Particulates < 2.5µm,"55,510"
2010,PT,Portugal,Particulates < 10µm,"88,610"
2010,PT,Portugal,Non-methane volatile organic compounds,"162,130"
2010,RO,Romania,Nitrogen oxides,"241,680"
2010,RO,Romania,Sulphur oxides,"355,600"
2010,RO,Romania,Ammonia,"186,500"
2010,RO,Romania,Particulates < 2.5µm,"129,770"
2010,RO,Romania,Particulates < 10µm,"166,830"
2010,RO,Romania,Non-methane volatile organic compounds,"267,560"
2010,SE,Sweden,Nitrogen oxides,"168,790"
2010,SE,Sweden,Sulphur oxides,"28,800"
2010,SE,Sweden,Ammonia,"54,690"
2010,SE,Sweden,Particulates < 2.5µm,"26,220"
2010,SE,Sweden,Particulates < 10µm,"44,290"
2010,SE,Sweden,Non-methane volatile organic compounds,"176,700"
2010,SI,Slovenia,Nitrogen oxides,"48,000"
2010,SI,Slovenia,Sulphur oxides,"10,430"
2010,SI,Slovenia,Ammonia,"19,540"
2010,SI,Slovenia,Particulates < 2.5µm,"14,540"
2010,SI,Slovenia,Particulates < 10µm,"16,870"
2010,SI,Slovenia,Non-methane volatile organic compounds,"39,910"
2010,SK,Slovakia,Nitrogen oxides,"86,160"
2010,SK,Slovakia,Sulphur oxides,"67,710"
2010,SK,Slovakia,Ammonia,"28,820"
2010,SK,Slovakia,Particulates < 2.5µm,"26,090"
2010,SK,Slovakia,Particulates < 10µm,"32,000"
2010,SK,Slovakia,Non-methane volatile organic compounds,"124,660"
2010,TR,Turkey,Nitrogen oxides,"958,740"
2010,TR,Turkey,Sulphur oxides,"2,556,870"
2010,TR,Turkey,Ammonia,"588,540"
2010,TR,Turkey,Particulates < 2.5µm,"199,160"
2010,TR,Turkey,Particulates < 10µm,"346,300"
2010,TR,Turkey,Non-methane volatile organic compounds,"1,102,830"
