TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES
2010,AT,Austria,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,095.32"
2010,AT,Austria,Carbon dioxide,Agriculture,103.07
2010,AT,Austria,Methane,Agriculture,187.01
2010,AT,Austria,Methane (CO2 equivalent),Agriculture,"4,675.31"
2010,AT,Austria,Nitrous oxide,Agriculture,7.77
2010,AT,Austria,Nitrous oxide (CO2 equivalent),Agriculture,"2,316.94"
2010,AT,Austria,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,AT,Austria,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,AT,Austria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,AT,Austria,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,AT,Austria,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,AT,Austria,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-5,724.40"
2010,AT,Austria,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-5,858.11"
2010,AT,Austria,Methane,"Land use, land use change, and forestry (LULUCF)",0.96
2010,AT,Austria,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.9
2010,AT,Austria,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.37
2010,AT,Austria,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",109.81
2010,AT,Austria,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,AT,Austria,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,AT,Austria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,AT,Austria,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,AT,Austria,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BE,Belgium,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"9,570.26"
2010,BE,Belgium,Carbon dioxide,Agriculture,172.48
2010,BE,Belgium,Methane,Agriculture,212.02
2010,BE,Belgium,Methane (CO2 equivalent),Agriculture,"5,300.44"
2010,BE,Belgium,Nitrous oxide,Agriculture,13.75
2010,BE,Belgium,Nitrous oxide (CO2 equivalent),Agriculture,"4,097.33"
2010,BE,Belgium,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,BE,Belgium,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,BE,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,BE,Belgium,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,BE,Belgium,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,BE,Belgium,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-1,163.68"
2010,BE,Belgium,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-1,258.34"
2010,BE,Belgium,Methane,"Land use, land use change, and forestry (LULUCF)",:
2010,BE,Belgium,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BE,Belgium,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.32
2010,BE,Belgium,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",94.67
2010,BE,Belgium,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BE,Belgium,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BE,Belgium,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BE,Belgium,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BE,Belgium,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BG,Bulgaria,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"5,303.80"
2010,BG,Bulgaria,Carbon dioxide,Agriculture,18.05
2010,BG,Bulgaria,Methane,Agriculture,80.18
2010,BG,Bulgaria,Methane (CO2 equivalent),Agriculture,"2,004.55"
2010,BG,Bulgaria,Nitrous oxide,Agriculture,11.01
2010,BG,Bulgaria,Nitrous oxide (CO2 equivalent),Agriculture,"3,281.20"
2010,BG,Bulgaria,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,BG,Bulgaria,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,BG,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,BG,Bulgaria,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,BG,Bulgaria,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,BG,Bulgaria,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-12,668.74"
2010,BG,Bulgaria,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-12,952.52"
2010,BG,Bulgaria,Methane,"Land use, land use change, and forestry (LULUCF)",0.61
2010,BG,Bulgaria,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",15.19
2010,BG,Bulgaria,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.9
2010,BG,Bulgaria,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",268.58
2010,BG,Bulgaria,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BG,Bulgaria,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BG,Bulgaria,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BG,Bulgaria,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,BG,Bulgaria,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,CH,Switzerland,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"6,116.75"
2010,CH,Switzerland,Carbon dioxide,Agriculture,44.44
2010,CH,Switzerland,Methane,Agriculture,162.51
2010,CH,Switzerland,Methane (CO2 equivalent),Agriculture,"4,062.77"
2010,CH,Switzerland,Nitrous oxide,Agriculture,6.74
2010,CH,Switzerland,Nitrous oxide (CO2 equivalent),Agriculture,"2,009.54"
2010,CH,Switzerland,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,CH,Switzerland,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,CH,Switzerland,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,CH,Switzerland,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,CH,Switzerland,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,CH,Switzerland,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-2,827.07"
2010,CH,Switzerland,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-2,886.07"
2010,CH,Switzerland,Methane,"Land use, land use change, and forestry (LULUCF)",0.49
2010,CH,Switzerland,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",12.28
