TIME,GEO_NAME,GEO,IRRIGATION,CROPS
2010,AT,Austria,Irrigable,3.2
2010,AT,Austria,Irrigated,0.9
2010,AT11,Burgenland,Irrigable,12.2
2010,AT11,Burgenland,Irrigated,3.9
2010,AT12,Lower Austria,Irrigable,6.7
2010,AT12,Lower Austria,Irrigated,1.7
2010,AT13,Vienna,Irrigable,26.9
2010,AT13,Vienna,Irrigated,11.2
2010,AT21,Carinthia,Irrigable,0.3
2010,AT21,Carinthia,Irrigated,0.1
2010,AT22,Styria,Irrigable,0.5
2010,AT22,Styria,Irrigated,0.3
2010,AT31,Upper Austria,Irrigable,0.3
2010,AT31,Upper Austria,Irrigated,0.1
2010,AT32,Salzburg,Irrigable,0.1
2010,AT32,Salzburg,Irrigated,0
2010,AT33,Tyrol,Irrigable,0.7
2010,AT33,Tyrol,Irrigated,0.5
2010,AT34,Vorarlberg,Irrigable,0.1
2010,AT34,Vorarlberg,Irrigated,0
2010,BE,Belgium,Irrigable,1
2010,BE,Belgium,Irrigated,0.3
2010,BE10,Brussels,Irrigable,0
2010,BE10,Brussels,Irrigated,0
2010,BE21,Antwerp,Irrigable,2
2010,BE21,Antwerp,Irrigated,0.7
2010,BE22,Limburg,Irrigable,3.6
2010,BE22,Limburg,Irrigated,1.1
2010,BE23,East Flanders,Irrigable,0.6
2010,BE23,East Flanders,Irrigated,0.2
2010,BE24,Flemish Barbant,Irrigable,0.3
2010,BE24,Flemish Barbant,Irrigated,0.1
2010,BE25,West Flanders,Irrigable,2.6
2010,BE25,West Flanders,Irrigated,0.7
2010,BE31,Walloon Barbant,Irrigable,0.2
2010,BE31,Walloon Barbant,Irrigated,0.1
2010,BE32,Hainaut,Irrigable,0.3
2010,BE32,Hainaut,Irrigated,0
2010,BE33,Liége,Irrigable,0.7
2010,BE33,Liége,Irrigated,0.2
2010,BE34,Luxemburg,Irrigable,: c
2010,BE34,Luxemburg,Irrigated,: c
2010,BE35,Namur,Irrigable,0.3
2010,BE35,Namur,Irrigated,0.2
2010,BG,Bulgaria,Irrigable,3.1
2010,BG,Bulgaria,Irrigated,2
2010,BG31,Severozapaden,Irrigable,0.8
2010,BG31,Severozapaden,Irrigated,0.6
2010,BG32,Severen centralen,Irrigable,0.5
2010,BG32,Severen centralen,Irrigated,0.2
2010,BG33,Severoiztoecen,Irrigable,0.8
2010,BG33,Severoiztoecen,Irrigated,0.5
2010,BG34,Jugoiztecen,Irrigable,3.5
2010,BG34,Jugoiztecen,Irrigated,1.9
2010,BG41,Jugozapaden,Irrigable,3.1
2010,BG41,Jugozapaden,Irrigated,2.8
2010,BG42,Juzen centralen,Irrigable,11.9
2010,BG42,Juzen centralen,Irrigated,7.9
2010,CH,Switzerland,Irrigable,: 
2010,CH,Switzerland,Irrigated,: 
2010,CH01,Lake Geneva region,Irrigable,: 
2010,CH01,Lake Geneva region,Irrigated,: 
2010,CH02,Espace Mittelland,Irrigable,: 
2010,CH02,Espace Mittelland,Irrigated,: 
2010,CH03,Northwest Switzerland,Irrigable,: 
2010,CH03,Northwest Switzerland,Irrigated,: 
2010,CH04,Zurich,Irrigable,: 
2010,CH04,Zurich,Irrigated,: 
2010,CH05,Eastern Switzerland,Irrigable,: 
2010,CH05,Eastern Switzerland,Irrigated,: 
2010,CH06,Central Switzerland,Irrigable,: 
2010,CH06,Central Switzerland,Irrigated,: 
2010,CH07,Ticino,Irrigable,: 
2010,CH07,Ticino,Irrigated,: 
2010,CY,Cyprus,Irrigable,34
2010,CY,Cyprus,Irrigated,23.9
2010,CY00,Cyprus,Irrigable,34
2010,CY00,Cyprus,Irrigated,23.9
2010,CZ,Czech Republic,Irrigable,0.9
2010,CZ,Czech Republic,Irrigated,0.6
2010,CZ01,Prague,Irrigable,: c
2010,CZ01,Prague,Irrigated,: c
2010,CZ02,Central Bohemia,Irrigable,1.9
2010,CZ02,Central Bohemia,Irrigated,1.3
2010,CZ03,Southwest Bohemia,Irrigable,0
2010,CZ03,Southwest Bohemia,Irrigated,0
2010,CZ04,Northwest Bohemia,Irrigable,1.5
2010,CZ04,Northwest Bohemia,Irrigated,0.9
2010,CZ05,Northeast Bohemia,Irrigable,0.8
2010,CZ05,Northeast Bohemia,Irrigated,0.4
2010,CZ06,Southeast Bohemia,Irrigable,1.4
2010,CZ06,Southeast Bohemia,Irrigated,0.8
2010,CZ07,Central Moravia,Irrigable,0.4
2010,CZ07,Central Moravia,Irrigated,0.2
2010,CZ08,Moravian-Silesian,Irrigable,0.1
2010,CZ08,Moravian-Silesian,Irrigated,0.1
2010,DE,Germany,Irrigable,3.8
2010,DE,Germany,Irrigated,2.2
2010,DE1,Baden-Württemberg,Irrigable,1.9
2010,DE1,Baden-Württemberg,Irrigated,1
2010,DE11,Stuttgart,Irrigable,: 
2010,DE11,Stuttgart,Irrigated,: 
2010,DE12,Karlsruhe,Irrigable,: 
2010,DE12,Karlsruhe,Irrigated,: 
2010,DE13,Freiburg,Irrigable,: 
2010,DE13,Freiburg,Irrigated,: 
2010,DE14,Tübingen,Irrigable,: 
2010,DE14,Tübingen,Irrigated,: 
2010,DE2,Bavaria,Irrigable,1.2
2010,DE2,Bavaria,Irrigated,0.5
2010,DE21,Oberbayern,Irrigable,: 
2010,DE21,Oberbayern,Irrigated,: 
2010,DE22,Niederbayern,Irrigable,: 
2010,DE22,Niederbayern,Irrigated,: 
2010,DE23,Oberpfalz,Irrigable,: 
2010,DE23,Oberpfalz,Irrigated,: 
2010,DE24,Oberfranken,Irrigable,: 
2010,DE24,Oberfranken,Irrigated,: 
2010,DE25,Mittelfranken,Irrigable,: 
2010,DE25,Mittelfranken,Irrigated,: 
2010,DE26,Unterfranken,Irrigable,: 
2010,DE26,Unterfranken,Irrigated,: 
2010,DE27,Schwaben,Irrigable,: 
2010,DE27,Schwaben,Irrigated,: 
2010,DE3,Berlin,Irrigable,3.7
2010,DE3,Berlin,Irrigated,1.4
2010,DE30,Berlin,Irrigable,: 
2010,DE30,Berlin,Irrigated,: 
2010,DE4,Brandenburg,Irrigable,2.9
2010,DE4,Brandenburg,Irrigated,1.6
2010,DE40,Brandenburg,Irrigable,: 
2010,DE40,Brandenburg,Irrigated,: 
2010,DE5,Bremen,Irrigable,: c
2010,DE5,Bremen,Irrigated,: c
2010,DE50,Bremen,Irrigable,: 
2010,DE50,Bremen,Irrigated,: 
2010,DE6,Hamburg,Irrigable,10.5
2010,DE6,Hamburg,Irrigated,5.7
2010,DE60,Hamburg,Irrigable,: 
2010,DE60,Hamburg,Irrigated,: 
2010,DE7,Hesse,Irrigable,4.2
2010,DE7,Hesse,Irrigated,2
2010,DE71,Darmstadt,Irrigable,: 
2010,DE71,Darmstadt,Irrigated,: 
2010,DE72,Gieben,Irrigable,: 
2010,DE72,Gieben,Irrigated,: 
2010,DE73,Kassek,Irrigable,: 
2010,DE73,Kassek,Irrigated,: 
2010,DE8,Mecklenburg-Vorpommern,Irrigable,2.3
2010,DE8,Mecklenburg-Vorpommern,Irrigated,1.1
2010,DE80,Mecklenburg-Vorpommern,Irrigable,: 
2010,DE80,Mecklenburg-Vorpommern,Irrigated,: 
2010,DE9,Lower Saxony,Irrigable,12.2
2010,DE9,Lower Saxony,Irrigated,8.5
2010,DE91,Braunschweig,Irrigable,: 
2010,DE91,Braunschweig,Irrigated,: 
2010,DE92,Hannover,Irrigable,: 
2010,DE92,Hannover,Irrigated,: 
2010,DE93,Lüneburg,Irrigable,: 
2010,DE93,Lüneburg,Irrigated,: 
2010,DE94,Weser-ems,Irrigable,: 
2010,DE94,Weser-ems,Irrigated,: 
2010,DEA,North Rgine-Westphalia,Irrigable,4.2
2010,DEA,North Rgine-Westphalia,Irrigated,1.9
2010,DEA1,Düsseldorf,Irrigable,: 
2010,DEA1,Düsseldorf,Irrigated,: 
2010,DEA2,Köln,Irrigable,: 
2010,DEA2,Köln,Irrigated,: 
2010,DEA3,Münster,Irrigable,: 
2010,DEA3,Münster,Irrigated,: 
2010,DEA4,Detmold,Irrigable,: 
2010,DEA4,Detmold,Irrigated,: 
2010,DEA5,Arnsberg,Irrigable,: 
2010,DEA5,Arnsberg,Irrigated,: 
2010,DEB,Rhineland-Palatine,Irrigable,4.5
2010,DEB,Rhineland-Palatine,Irrigated,2.8
2010,DEB1,Koblenz,Irrigable,: 
2010,DEB1,Koblenz,Irrigated,: 
2010,DEB2,Trier,Irrigable,: 
2010,DEB2,Trier,Irrigated,: 
2010,DEB3,Rheinhessen-Pflaz,Irrigable,: 
2010,DEB3,Rheinhessen-Pflaz,Irrigated,: 
2010,DEC,Saarland,Irrigated,: 
2010,DEC,Saarland,Irrigable,0.2
2010,DEC,Saarland,Irrigated,0.2
2010,DEC000,Saarland,Irrigable,: 
2010,DED,Saxony,Irrigable,1.3
2010,DED,Saxony,Irrigated,0.4
2010,DED2,Dresden,Irrigable,: 
2010,DED2,Dresden,Irrigated,: 
2010,DED4,Shemnitz,Irrigable,: 
2010,DED4,Shemnitz,Irrigated,: 
2010,DED5,Leipzig,Irrigable,: 
2010,DED5,Leipzig,Irrigated,: 
2010,DEE,Saxony-Anhalt,Irrigable,2.1
2010,DEE,Saxony-Anhalt,Irrigated,1.1
2010,DEE0,Sachsen-Anhalt,Irrigable,: 
2010,DEE0,Sachsen-Anhalt,Irrigated,: 
