TIME,GEO_NAME,GEO,RDB_CODE,RDB_NAME,WATER_POL_PERCENTAGE
2015,AT,Austria,AT1000,DANUBE,53
2015,AT,Austria,AT2000,RHINE,46
2015,AT,Austria,AT5000,ELBE,53
2015,BE,Belgium,BEESCAUT_RW,INTERNATIONAL RIVER BASIN DISTRICT OF THE SCHELDT,92
2015,BE,Belgium,BEESCAUT_SCHELDE_BR,INTERNATIONAL RIVER BASIN DISTRICT OF THE SCHELDT,100
2015,BE,Belgium,BEMAAS_VL,INTERNATIONAL RIVER BASIN DISTRICT OF THE MEUSE,100
2015,BE,Belgium,BEMEUSE_RW,INTERNATIONAL RIVER BASIN DISTRICT OF THE MEUSE,47
2015,BE,Belgium,BENOORDZEE_FED,BELGIAN COASTAL ZONE,100
2015,BE,Belgium,BERHIN_RW,INTERNATIONAL RIVER BASIN DISTRICT OF THE RHINE,56
2015,BE,Belgium,BESCHELDE_VL,INTERNATIONAL RIVER BASIN DISTRICT OF THE SCHELDT,100
2015,BE,Belgium,BESEINE_RW,INTERNATIONAL RIVER BASIN DISTRICT OF THE SEINE,0
2015,BG,Bulgaria,BG1000,DANUBE,41
2015,BG,Bulgaria,BG2000,BLACK SEA,62
2015,BG,Bulgaria,BG3000,EAST AEGEAN,55
2015,BG,Bulgaria,BG4000,WEST AEGEAN,36
2015,CY,Cyprus,CY001,CYPRUS,41
2015,CZ,Czech Republic,CZ1000,DANUBE,74
2015,CZ,Czech Republic,CZ5000,ELBE,85
2015,CZ,Czech Republic,CZ6000,ODRA,74
2015,DE,Germany,DE1000,DONAU,80
2015,DE,Germany,DE2000,RHEIN,87
2015,DE,Germany,DE3000,EMS,99
2015,DE,Germany,DE4000,WESER,95
2015,DE,Germany,DE5000,ELBE,94
2015,DE,Germany,DE6000,ODER,96
2015,DE,Germany,DE7000,MAAS,86
2015,DE,Germany,DE9500,EIDER,90
2015,DE,Germany,DE9610,SCHLEI/TRAVE,99
2015,DE,Germany,DE9650,WARNOW/PEENE,95
2015,DK,Denmark,DK1,JUTLAND AND FUNEN,60
2015,DK,Denmark,DK2,SEALAND,79
2015,DK,Denmark,DK3,BORNHOLM,36
2015,DK,Denmark,DK4,VIDAA-KRUSAA,61
2015,EE,Estonia,EE1,L?‰?‰NE-EESTI VESIKOND,41
