Area;NUTS;Item Code (FAO);Item;Year;Unit;Value;Flag;Flag Description
Spain;ES;901;Cheese, whole cow milk;2014;tonnes;128000;*;Unofficial figure
Czechia;CZ;901;Cheese, whole cow milk;2013;tonnes;117790;*;Unofficial figure
Czechia;CZ;901;Cheese, whole cow milk;2012;tonnes;111550;*;Unofficial figure
Czechia;CZ;901;Cheese, whole cow milk;2011;tonnes;110000;*;Unofficial figure
Czechia;CZ;901;Cheese, whole cow milk;2010;tonnes;109000;*;Unofficial figure
Czechia;CZ;901;Cheese, whole cow milk;2009;tonnes;103000;*;Unofficial figure
Belgium;BE;901;Cheese, whole cow milk;2011;tonnes;55800;*;Unofficial figure
Belgium;BE;901;Cheese, whole cow milk;2013;tonnes;54500;*;Unofficial figure
Belgium;BE;901;Cheese, whole cow milk;2012;tonnes;54400;*;Unofficial figure
Belgium;BE;901;Cheese, whole cow milk;2010;tonnes;51300;*;Unofficial figure
Belgium;BE;901;Cheese, whole cow milk;2009;tonnes;49500;*;Unofficial figure
France;FR;1062;Eggs, hen, in shell;2018;tonnes;994010;*;Unofficial figure
France;FR;1062;Eggs, hen, in shell;2015;tonnes;970000;*;Unofficial figure
France;FR;1062;Eggs, hen, in shell;2019;tonnes;926446;*;Unofficial figure
France;FR;1062;Eggs, hen, in shell;2017;tonnes;877856;*;Unofficial figure
Spain;ES;1062;Eggs, hen, in shell;2019;tonnes;864184;*;Unofficial figure
France;FR;1062;Eggs, hen, in shell;2016;tonnes;816297;*;Unofficial figure
Germany;DE;1062;Eggs, hen, in shell;2019;tonnes;763141;*;Unofficial figure
Netherlands;NL;1062;Eggs, hen, in shell;2014;tonnes;726000;*;Unofficial figure
Netherlands;NL;1062;Eggs, hen, in shell;2013;tonnes;699000;*;Unofficial figure
Poland;PL;1062;Eggs, hen, in shell;2019;tonnes;657270;*;Unofficial figure
Poland;PL;1062;Eggs, hen, in shell;2018;tonnes;645139;*;Unofficial figure
