TIME,GEO,NUTS Code,SEX,Life Expectancy at Birth
2009,Belgium,BE,Total,80.2
2009,Belgium,BE,Males,77.4
2009,Belgium,BE,Females,82.8
2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE1,Total,79.9
2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE1,Males,76.9
2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE1,Females,82.5
2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Total,79.9
2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Males,76.9
2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Females,82.5
2009,Vlaams Gewest,BE2,Total,80.9
2009,Vlaams Gewest,BE2,Males,78.3
2009,Vlaams Gewest,BE2,Females,83.5
2009,Prov. Antwerpen,BE21,Total,80.9
2009,Prov. Antwerpen,BE21,Males,78.6
2009,Prov. Antwerpen,BE21,Females,83.1
2009,Prov. Limburg (BE),BE22,Total,81.2
2009,Prov. Limburg (BE),BE22,Males,78.8
2009,Prov. Limburg (BE),BE22,Females,83.5
2009,Prov. Oost-Vlaanderen,BE23,Total,80.4
2009,Prov. Oost-Vlaanderen,BE23,Males,77.5
2009,Prov. Oost-Vlaanderen,BE23,Females,83.3
2009,Prov. Vlaams-Brabant,BE24,Total,81.5
2009,Prov. Vlaams-Brabant,BE24,Males,78.8
2009,Prov. Vlaams-Brabant,BE24,Females,84.1
2009,Prov. West-Vlaanderen,BE25,Total,80.9
2009,Prov. West-Vlaanderen,BE25,Males,78.2
2009,Prov. West-Vlaanderen,BE25,Females,83.6
2009,Région wallonne,BE3,Total,78.6
2009,Région wallonne,BE3,Males,75.6
2009,Région wallonne,BE3,Females,81.5
2009,Prov. Brabant wallon,BE31,Total,80.9
2009,Prov. Brabant wallon,BE31,Males,78.5
2009,Prov. Brabant wallon,BE31,Females,83.1
2009,Prov. Hainaut,BE32,Total,77.8
2009,Prov. Hainaut,BE32,Males,74.5
2009,Prov. Hainaut,BE32,Females,80.9
2009,Prov. Liège,BE33,Total,78.8
2009,Prov. Liège,BE33,Males,76.0
2009,Prov. Liège,BE33,Females,81.6
2009,Prov. Luxembourg (BE),BE34,Total,78.8
2009,Prov. Luxembourg (BE),BE34,Males,75.9
2009,Prov. Luxembourg (BE),BE34,Females,81.7
2009,Prov. Namur,BE35,Total,78.7
2009,Prov. Namur,BE35,Males,75.4
2009,Prov. Namur,BE35,Females,82.0
2009,Bulgaria,BG,Total,73.7
2009,Bulgaria,BG,Males,70.2
2009,Bulgaria,BG,Females,77.4
2009,Severna i yugoiztochna Bulgaria,BG3,Total,73.0
2009,Severna i yugoiztochna Bulgaria,BG3,Males,69.6
2009,Severna i yugoiztochna Bulgaria,BG3,Females,76.7
2009,Severozapaden,BG31,Total,72.9
2009,Severozapaden,BG31,Males,69.7
2009,Severozapaden,BG31,Females,76.3
2009,Severen tsentralen,BG32,Total,73.2
2009,Severen tsentralen,BG32,Males,69.4
2009,Severen tsentralen,BG32,Females,77.2
2009,Severoiztochen,BG22,Total,73.2
2009,Severoiztochen,BG22,Males,69.7
2009,Severoiztochen,BG22,Females,76.9
2009,Yugoiztochen,BG34,Total,72.9
2009,Yugoiztochen,BG34,Males,69.6
2009,Yugoiztochen,BG34,Females,76.5
2009,Yugozapadna i yuzhna tsentralna Bulgaria,BG4,Total,74.4
2009,Yugozapadna i yuzhna tsentralna Bulgaria,BG4,Males,70.8
2009,Yugozapadna i yuzhna tsentralna Bulgaria,BG4,Females,78.1
2009,Yugozapaden,BG41,Total,74.5
2009,Yugozapaden,BG41,Males,70.8
2009,Yugozapaden,BG41,Females,78.3
2009,Yuzhen tsentralen,BG42,Total,74.3
2009,Yuzhen tsentralen,BG42,Males,70.8
2009,Yuzhen tsentralen,BG42,Females,77.9
2009,Czechia,CZ,Total,77.4
2009,Czechia,CZ,Males,74.3
2009,Czechia,CZ,Females,80.5
2009,Cesko,CZ0,Total,77.4
2009,Cesko,CZ0,Males,74.3
2009,Cesko,CZ0,Females,80.5
2009,Praha,CZ01,Total,79.1
2009,Praha,CZ01,Males,76.5
2009,Praha,CZ01,Females,81.4
2009,Strední Cechy,CZ02,Total,77.2
2009,Strední Cechy,CZ02,Males,74.1
2009,Strední Cechy,CZ02,Females,80.2
2009,Jihozápad,CZ03,Total,77.6
2009,Jihozápad,CZ03,Males,74.8
2009,Jihozápad,CZ03,Females,80.4
2009,Severozápad,CZ04,Total,75.6
2009,Severozápad,CZ04,Males,72.2
2009,Severozápad,CZ04,Females,79.0
2009,Severovýchod,CZ05,Total,77.9
2009,Severovýchod,CZ05,Males,74.8
2009,Severovýchod,CZ05,Females,80.9
2009,Jihovýchod,CZ06,Total,78.1
2009,Jihovýchod,CZ06,Males,74.8
2009,Jihovýchod,CZ06,Females,81.3
2009,Strední Morava,CZ07,Total,77.2
2009,Strední Morava,CZ07,Males,73.8
2009,Strední Morava,CZ07,Females,80.6
2009,Moravskoslezsko,CZ08,Total,76.2
2009,Moravskoslezsko,CZ08,Males,72.7
2009,Moravskoslezsko,CZ08,Females,79.7
2009,Denmark,DK,Total,79.0
2009,Denmark,DK,Males,76.9
2009,Denmark,DK,Females,81.1
2009,Danmark,DK0,Total,79.0
2009,Danmark,DK0,Males,76.9
2009,Danmark,DK0,Females,81.1
2009,Hovedstaden,DK01,Total,78.9
2009,Hovedstaden,DK01,Males,76.6
2009,Hovedstaden,DK01,Females,80.9
2009,Sjælland,DK02,Total,78.3
2009,Sjælland,DK02,Males,76.2
2009,Sjælland,DK02,Females,80.5
2009,Syddanmark,DK03,Total,79.0
2009,Syddanmark,DK03,Males,76.8
2009,Syddanmark,DK03,Females,81.1
2009,Midtjylland,DK04,Total,79.7
2009,Midtjylland,DK04,Males,77.5
2009,Midtjylland,DK04,Females,82.0
2009,Nordjylland,DK05,Total,78.9
2009,Nordjylland,DK05,Males,77.2
2009,Nordjylland,DK05,Females,80.6
2009,Germany (until 1990 former territory of the FRG),DE,Total,80.3
2009,Germany (until 1990 former territory of the FRG),DE,Males,77.8
2009,Germany (until 1990 former territory of the FRG),DE,Females,82.8
2009,Baden-Württemberg,DE1,Total,81.6
2009,Baden-Württemberg,DE1,Males,79.3
2009,Baden-Württemberg,DE1,Females,83.9
2009,Stuttgart,DE11,Total,81.8
2009,Stuttgart,DE11,Males,79.5
2009,Stuttgart,DE11,Females,84.1
2009,Karlsruhe,DE12,Total,81.1
2009,Karlsruhe,DE12,Males,78.8
2009,Karlsruhe,DE12,Females,83.4
2009,Freiburg,DE13,Total,81.7
2009,Freiburg,DE13,Males,79.6
2009,Freiburg,DE13,Females,83.8
2009,Tübingen,DE14,Total,81.8
2009,Tübingen,DE14,Males,79.5
2009,Tübingen,DE14,Females,84.0
2009,Bayern,DE2,Total,80.8
2009,Bayern,DE2,Males,78.3
2009,Bayern,DE2,Females,83.2
2009,Oberbayern,DE21,Total,81.5
2009,Oberbayern,DE21,Males,79.2
2009,Oberbayern,DE21,Females,83.7
2009,Niederbayern,DE22,Total,80.1
2009,Niederbayern,DE22,Males,77.3
2009,Niederbayern,DE22,Females,82.9
2009,Oberpfalz,DE23,Total,80.0
2009,Oberpfalz,DE23,Males,77.3
2009,Oberpfalz,DE23,Females,82.8
2009,Oberfranken,DE24,Total,79.7
2009,Oberfranken,DE24,Males,77.0
2009,Oberfranken,DE24,Females,82.4
2009,Mittelfranken,DE25,Total,80.4
2009,Mittelfranken,DE25,Males,77.7
2009,Mittelfranken,DE25,Females,83.0
2009,Unterfranken,DE26,Total,81.0
2009,Unterfranken,DE26,Males,78.7
2009,Unterfranken,DE26,Females,83.3
2009,Schwaben,DE27,Total,80.9
2009,Schwaben,DE27,Males,78.6
2009,Schwaben,DE27,Females,83.1
2009,Berlin,DE3,Total,80.3
2009,Berlin,DE3,Males,77.9
2009,Berlin,DE3,Females,82.7
2009,Berlin,DE30,Total,80.3
2009,Berlin,DE30,Males,77.9
2009,Berlin,DE30,Females,82.7
2009,Brandenburg,DE4,Total,79.7
2009,Brandenburg,DE4,Males,76.8
2009,Brandenburg,DE4,Females,82.5
2009,Brandenburg,DE40,Total,79.7
2009,Brandenburg,DE40,Males,76.8
2009,Brandenburg,DE40,Females,82.5
2009,Bremen,DE5,Total,79.4
2009,Bremen,DE5,Males,76.8
