TIME,GEO_NAME,GEO,IRRIGATION,IRRIGATED_CROPS,WATER_RDB_CODE,WATER_RDB_NAME,WATER_POL_PERCENTAGE,INDIC_AG,AG_HECTARES,SE_LEVELS,SE_SECTOR,SE_TONNES PER HECTARE,GREEN_POL,GREEN_POL_SRC,GREEN_POL_THOUSAND_TONNES,AIRPOL,AIRPOL_VALUE
2010,AT,Austria,Irrigable,3.2,,,,,,,,,,,,,
2010,AT,Austria,,,,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,095.32",,
2010,AT,Austria,,,,,,High-input farms,"963,256",,,,,,,,
2010,AT,Austria,,,,,,,,,,,,,,Nitrogen oxides,"204,450"
2010,AT,Austria,Irrigated,0.9,,,,,,,,,,,,,
2010,AT,Austria,,,,,,,,,,,Carbon dioxide,Agriculture,103.07,,
2010,AT,Austria,,,,,,,,Total,Agricultural areas (excluding pastures),5,,,,,
2010,AT,Austria,,,,,,,,,,,,,,Sulphur oxides,"15,990"
2010,AT,Austria,,,,,,Low-input farms,"960,426",,,,,,,,
2010,AT,Austria,,,,,,,,,,,Methane,Agriculture,187.01,,
2010,AT,Austria,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.1,,,,,
2010,AT,Austria,,,,,,,,,,,,,,Ammonia,"62,880"
2010,AT,Austria,,,,,,Medium-input farms,"966,845",,,,,,,,
2010,AT,Austria,,,,,,,,,,,Methane (CO2 equivalent),Agriculture,"4,675.31",,
2010,AT,Austria,,,,,,,,Severe,Agricultural areas (excluding pastures),18.6,,,,,
2010,AT,Austria,,,,,,,,,,,,,,Particulates < 2.5µm,"19,810"
2010,AT,Austria,,,,,,,,Total,Pastures and natural grassland,10.2,,,,,
2010,AT,Austria,,,,,,,,,,,Nitrous oxide,Agriculture,7.77,,
2010,AT,Austria,,,,,,,,Moderate,Pastures and natural grassland,7.4,,,,,
2010,AT,Austria,,,,,,,,,,,,,,Particulates < 10µm,"32,030"
2010,AT,Austria,,,,,,,,Severe,Pastures and natural grassland,19.1,,,,,
2010,AT,Austria,,,,,,,,,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,316.94",,
2010,AT,Austria,,,,,,,,,,,,,,Non-methane volatile organic compounds,"137,900"
2010,AT,Austria,,,,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,
2010,AT,Austria,,,,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,
2010,AT,Austria,,,,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,
2010,AT,Austria,,,,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,
2010,AT,Austria,,,,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,
2010,AT,Austria,,,,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-5,724.40",,
2010,AT,Austria,,,,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-5,858.11",,
2010,AT,Austria,,,,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,,
2010,AT,Austria,,,,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.9,,
2010,AT,Austria,,,,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.37,,
2010,AT,Austria,,,,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",109.81,,
2010,AT,Austria,,,,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,
2010,AT,Austria,,,,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,
2010,AT,Austria,,,,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,
2010,AT,Austria,,,,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,
2010,AT,Austria,,,,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,
2010,AT1,Ostösterreich,,,,,,High-input farms,"368,358",,,,,,,,
2010,AT1,Ostösterreich,,,,,,Low-input farms,"276,171",,,,,,,,
2010,AT1,Ostösterreich,,,,,,Medium-input farms,"538,077",,,,,,,,
2010,AT11,Burgenland,Irrigable,12.2,,,,,,,,,,,,,
2010,AT11,Burgenland,,,,,,High-input farms,"50,581",,,,,,,,
2010,AT11,Burgenland,Irrigated,3.9,,,,,,,,,,,,,
2010,AT11,Burgenland (AT),,,,,,,,Total,Agricultural areas (excluding pastures),2.9,,,,,
2010,AT11,Burgenland,,,,,,Low-input farms,"46,362",,,,,,,,
2010,AT11,Burgenland (AT),,,,,,,,Moderate,Agricultural areas (excluding pastures),7.1,,,,,
2010,AT11,Burgenland,,,,,,Medium-input farms,"71,240",,,,,,,,
2010,AT11,Burgenland (AT),,,,,,,,Severe,Agricultural areas (excluding pastures),14.4,,,,,
2010,AT11,Burgenland (AT),,,,,,,,Total,Pastures and natural grassland,1.3,,,,,
2010,AT11,Burgenland (AT),,,,,,,,Moderate,Pastures and natural grassland,7.1,,,,,
2010,AT11,Burgenland (AT),,,,,,,,Severe,Pastures and natural grassland,11.9,,,,,
2010,AT111,Mittelburgenland,,,,,,,,Moderate,Agricultural areas (excluding pastures),6.9,,,,,
2010,AT111,Mittelburgenland,,,,,,,,Total,Agricultural areas (excluding pastures),3.3,,,,,
2010,AT111,Mittelburgenland,,,,,,,,Severe,Agricultural areas (excluding pastures),14.3,,,,,
2010,AT111,Mittelburgenland,,,,,,,,Total,Pastures and natural grassland,4.9,,,,,
2010,AT111,Mittelburgenland,,,,,,,,Moderate,Pastures and natural grassland,7,,,,,
2010,AT111,Mittelburgenland,,,,,,,,Severe,Pastures and natural grassland,12.8,,,,,
2010,AT112,Nordburgenland,,,,,,,,Total,Agricultural areas (excluding pastures),1.3,,,,,
2010,AT112,Nordburgenland,,,,,,,,Moderate,Agricultural areas (excluding pastures),6.8,,,,,
2010,AT112,Nordburgenland,,,,,,,,Severe,Agricultural areas (excluding pastures),13.7,,,,,
2010,AT112,Nordburgenland,,,,,,,,Total,Pastures and natural grassland,0.5,,,,,
2010,AT112,Nordburgenland,,,,,,,,Moderate,Pastures and natural grassland,6.7,,,,,
2010,AT112,Nordburgenland,,,,,,,,Severe,Pastures and natural grassland,12,,,,,
2010,AT113,Südburgenland,,,,,,,,Total,Agricultural areas (excluding pastures),5.1,,,,,
2010,AT113,Südburgenland,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.2,,,,,
2010,AT113,Südburgenland,,,,,,,,Severe,Agricultural areas (excluding pastures),14.5,,,,,
2010,AT113,Südburgenland,,,,,,,,Total,Pastures and natural grassland,4,,,,,
2010,AT113,Südburgenland,,,,,,,,Moderate,Pastures and natural grassland,7.1,,,,,
2010,AT113,Südburgenland,,,,,,,,Severe,Pastures and natural grassland,11.6,,,,,
